iid,id,gender,partner,pid,int_corr,samerace,age,field,field_cd,undergra,mn_sat,tuition,race,imprace,imprelig,from,zipcode,income,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr,sinc,intel,fun,amb,shar,like,prob,match_es,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,dec,dec_o,match
2,2,0,1,11,0.29,1,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,5.00,7.00,8.00,4.00,6.00,3.00,6.00,4.00,3.00,27,2,35.00,20.00,20.00,20.00,0.00,5.00,8.00,7.00,6.00,9.00,7.00,4.00,7.00,2.00,2,0,0,0
2,2,0,2,12,0.18,1,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,8.00,5.00,6.00,6.00,9.00,6.00,7.00,3.00,3.00,22,2,60.00,0.00,0.00,40.00,0.00,0.00,7.00,6.00,10.00,6.00,6.00,5.00,8.00,4.00,2,0,0,0
2,2,0,3,13,0.10,0,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,5.00,8.00,9.00,6.00,3.00,4.00,6.00,7.00,3.00,22,4,19.00,18.00,19.00,18.00,14.00,12.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,2,0,1,0
2,2,0,4,14,-0.21,1,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,7.00,9.00,7.00,6.00,5.00,7.00,7.00,8.00,3.00,23,2,30.00,5.00,15.00,40.00,5.00,5.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,7.00,2,1,1,1
2,2,0,5,15,0.32,0,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,6.00,8.00,7.00,9.00,7.00,8.00,8.00,6.00,3.00,24,3,30.00,10.00,20.00,10.00,10.00,20.00,10.00,10.00,10.00,10.00,7.00,8.00,10.00,1.00,1,0,1,0
2,2,0,6,16,0.73,1,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,8.00,7.00,8.00,3.00,6.00,2.00,6.00,5.00,3.00,25,2,50.00,0.00,30.00,10.00,0.00,10.00,7.00,8.00,7.00,5.00,7.00,7.00,7.00,5.00,2,0,1,0
2,2,0,7,17,0.60,1,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,7.00,5.00,9.00,6.00,7.00,9.00,8.00,7.00,3.00,30,2,35.00,15.00,25.00,10.00,5.00,10.00,5.00,3.00,4.00,3.00,5.00,3.00,4.00,3.00,2,1,0,0
2,2,0,8,18,0.07,1,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,5.00,8.00,7.00,5.00,9.00,5.00,5.00,6.00,3.00,27,2,33.33,11.11,11.11,11.11,11.11,22.22,7.00,7.00,7.00,7.00,7.00,5.00,7.00,6.00,2,0,1,0
2,2,0,9,19,0.11,1,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,7.00,6.00,8.00,9.00,4.00,5.00,5.00,6.00,3.00,28,2,50.00,0.00,25.00,10.00,0.00,15.00,8.00,6.00,9.00,9.00,8.00,7.00,8.00,8.00,2,1,1,1
2,2,0,10,20,0.39,1,24,law,1.00,,,,2,2,5,Alabama,"35,223","65,929.00",law,,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4,5,6.00,7.00,8.00,7.00,9.00,8.00,8.00,7.00,3.00,24,2,100.00,0.00,0.00,0.00,0.00,0.00,6.00,5.00,7.00,7.00,9.00,7.00,6.00,9.00,2,1,0,0
3,3,0,1,11,-0.24,1,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,7.00,9.00,10.00,7.00,8.00,9.00,8.00,7.00,,27,2,35.00,20.00,20.00,20.00,0.00,5.00,7.00,8.00,6.00,5.00,8.00,4.00,5.00,2.00,1,0,0,0
3,3,0,2,12,-0.14,1,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,9.00,7.00,9.00,8.00,9.00,7.00,8.00,7.00,,22,2,60.00,0.00,0.00,40.00,0.00,0.00,6.00,7.00,10.00,6.00,6.00,5.00,7.00,3.00,2,0,0,0
3,3,0,3,13,0.09,0,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,7.00,9.00,9.00,7.00,9.00,7.00,8.00,7.00,,22,4,19.00,18.00,19.00,18.00,14.00,12.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,2,0,1,0
3,3,0,4,14,-0.04,1,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,9.00,7.00,9.00,7.00,9.00,7.00,8.00,7.00,,23,2,30.00,5.00,15.00,40.00,5.00,5.00,7.00,9.00,8.00,8.00,8.00,8.00,7.00,7.00,2,0,1,0
3,3,0,5,15,-0.14,0,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,9.00,10.00,10.00,10.00,10.00,10.00,9.00,,,24,3,30.00,10.00,20.00,10.00,10.00,20.00,6.00,10.00,8.00,6.00,,,6.00,1.00,2,0,1,0
3,3,0,6,16,-0.30,1,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,8.00,10.00,10.00,7.00,9.00,9.00,8.00,,,25,2,50.00,0.00,30.00,10.00,0.00,10.00,7.00,6.00,6.00,6.00,6.00,6.00,6.00,7.00,2,0,1,0
3,3,0,7,17,-0.26,1,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,8.00,9.00,10.00,7.00,7.00,9.00,8.00,7.00,,30,2,35.00,15.00,25.00,10.00,5.00,10.00,6.00,3.00,5.00,4.00,5.00,4.00,2.00,2.00,2,0,0,0
3,3,0,8,18,0.29,1,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,7.00,9.00,9.00,8.00,9.00,7.00,8.00,7.00,,27,2,33.33,11.11,11.11,11.11,11.11,22.22,4.00,5.00,6.00,4.00,6.00,4.00,5.00,1.00,2,0,0,0
3,3,0,9,19,-0.15,1,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,9.00,9.00,9.00,9.00,9.00,9.00,9.00,7.00,,28,2,50.00,0.00,25.00,10.00,0.00,15.00,7.00,7.00,6.00,8.00,7.00,7.00,7.00,7.00,2,0,1,0
3,3,0,10,20,-0.47,1,25,Economics,2.00,,,,2,8,4,Connecticut,"6,268",,Economist,,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4,2,8.00,7.00,9.00,7.00,9.00,7.00,8.00,7.00,,24,2,100.00,0.00,0.00,0.00,0.00,0.00,5.00,6.00,8.00,5.00,8.00,6.00,5.00,5.00,2,0,0,0
4,4,0,1,11,-0.18,1,23,Law,1.00,,,,2,1,1,Texas,"77,096","37,754.00",lawyer/policy work,1.00,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,4.00,10.00,8.00,5.00,8.00,7.00,6.00,7.00,2.00,27,2,35.00,20.00,20.00,20.00,0.00,5.00,6.00,7.00,8.00,7.00,7.00,5.00,6.00,3.00,2,0,0,0
4,4,0,2,12,-0.18,1,23,Law,1.00,,,,2,1,1,Texas,"77,096","37,754.00",lawyer/policy work,1.00,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,8.00,7.00,8.00,10.00,7.00,8.00,8.00,1.00,2.00,22,2,60.00,0.00,0.00,40.00,0.00,0.00,6.00,5.00,10.00,6.00,6.00,5.00,6.00,3.00,1,0,0,0
4,4,0,3,13,0.05,0,23,Law,1.00,,,,2,1,1,Texas,"77,096","37,754.00",lawyer/policy work,1.00,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,4.00,7.00,8.00,8.00,6.00,7.00,4.00,1.00,2.00,22,4,19.00,18.00,19.00,18.00,14.00,12.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,0,1,0
4,4,0,4,14,-0.18,1,23,Law,1.00,,,,2,1,1,Texas,"77,096","37,754.00",lawyer/policy work,1.00,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,8.00,10.00,7.00,10.00,7.00,10.00,8.00,10.00,2.00,23,2,30.00,5.00,15.00,40.00,5.00,5.00,7.00,7.00,7.00,9.00,9.00,9.00,8.00,10.00,1,1,1,1
4,4,0,5,15,0.21,0,23,Law,1.00,,,,2,1,1,Texas,"77,096","37,754.00",lawyer/policy work,1.00,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,6.00,9.00,8.00,9.00,8.00,9.00,7.00,7.00,2.00,24,3,30.00,10.00,20.00,10.00,10.00,20.00,8.00,8.00,9.00,8.00,8.00,9.00,9.00,7.00,2,0,1,0
4,4,0,6,16,0.37,1,23,Law,1.00,,,,2,1,1,Texas,"77,096","37,754.00",lawyer/policy work,1.00,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,5.00,10.00,8.00,4.00,8.00,2.00,4.00,3.00,2.00,25,2,50.00,0.00,30.00,10.00,0.00,10.00,6.00,6.00,7.00,7.00,8.00,7.00,6.00,6.00,2,0,1,0
4,4,0,7,17,0.35,1,23,Law,1.00,,,,2,1,1,Texas,"77,096","37,754.00",lawyer/policy work,1.00,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,7.00,10.00,10.00,7.00,10.00,5.00,5.00,1.00,2.00,30,2,35.00,15.00,25.00,10.00,5.00,10.00,7.00,6.00,3.00,5.00,6.00,5.00,6.00,4.00,2,0,1,0
4,4,0,8,18,0.15,1,23,Law,1.00,,,,2,1,1,Texas,"77,096","37,754.00",lawyer/policy work,1.00,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,5.00,9.00,9.00,5.00,9.00,7.00,6.00,6.00,2.00,27,2,33.33,11.11,11.11,11.11,11.11,22.22,6.00,7.00,8.00,6.00,6.00,5.00,7.00,7.00,2,0,0,0
4,4,0,9,19,-0.47,1,23,Law,1.00,,,,2,1,1,Texas,"77,096","37,754.00",lawyer/policy work,1.00,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,9.00,8.00,10.00,10.00,7.00,8.00,8.00,8.00,2.00,28,2,50.00,0.00,25.00,10.00,0.00,15.00,7.00,7.00,7.00,10.00,9.00,10.00,8.00,8.00,2,1,1,1
4,4,0,10,20,-0.19,1,23,Law,1.00,,,,2,1,1,Texas,"77,096","37,754.00",lawyer/policy work,1.00,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,2,8.00,9.00,10.00,10.00,8.00,8.00,10.00,8.00,2.00,24,2,100.00,0.00,0.00,0.00,0.00,0.00,7.00,8.00,8.00,7.00,8.00,7.00,7.00,7.00,2,1,0,0
5,5,0,1,11,-0.43,1,21,Law,1.00,,,,2,8,1,Bowdoin College,"94,022","86,340.00",lawyer,1.00,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,5.00,8.00,8.00,2.00,2.00,2.00,7.00,5.00,,27,2,35.00,20.00,20.00,20.00,0.00,5.00,6.00,8.00,8.00,8.00,7.00,6.00,6.00,5.00,2,0,0,0
5,5,0,2,12,0.00,1,21,Law,1.00,,,,2,8,1,Bowdoin College,"94,022","86,340.00",lawyer,1.00,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,8.00,6.00,6.00,5.00,5.00,5.00,6.00,4.00,,22,2,60.00,0.00,0.00,40.00,0.00,0.00,6.00,7.00,10.00,7.00,6.00,5.00,7.00,4.00,1,0,0,0
5,5,0,3,13,-0.17,0,21,Law,1.00,,,,2,8,1,Bowdoin College,"94,022","86,340.00",lawyer,1.00,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,4.00,6.00,8.00,8.00,6.00,5.00,6.00,5.00,,22,4,19.00,18.00,19.00,18.00,14.00,12.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,1,0,1,0
5,5,0,4,14,0.08,1,21,Law,1.00,,,,2,8,1,Bowdoin College,"94,022","86,340.00",lawyer,1.00,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,8.00,5.00,5.00,7.00,7.00,9.00,8.00,2.00,,23,2,30.00,5.00,15.00,40.00,5.00,5.00,6.00,8.00,6.00,8.00,10.00,10.00,7.00,7.00,1,1,1,1
5,5,0,5,15,-0.16,0,21,Law,1.00,,,,2,8,1,Bowdoin College,"94,022","86,340.00",lawyer,1.00,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,6.00,7.00,7.00,5.00,4.00,8.00,7.00,4.00,,24,3,30.00,10.00,20.00,10.00,10.00,20.00,5.00,9.00,9.00,7.00,9.00,5.00,5.00,7.00,2,0,0,0
5,5,0,6,16,0.06,1,21,Law,1.00,,,,2,8,1,Bowdoin College,"94,022","86,340.00",lawyer,1.00,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,5.00,6.00,7.00,5.00,7.00,8.00,7.00,3.00,,25,2,50.00,0.00,30.00,10.00,0.00,10.00,5.00,8.00,7.00,7.00,7.00,7.00,6.00,7.00,2,1,0,0
5,5,0,7,17,-0.05,1,21,Law,1.00,,,,2,8,1,Bowdoin College,"94,022","86,340.00",lawyer,1.00,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,6.00,6.00,8.00,5.00,5.00,6.00,6.00,3.00,,30,2,35.00,15.00,25.00,10.00,5.00,10.00,2.00,3.00,4.00,4.00,5.00,3.00,3.00,3.00,2,1,0,0
5,5,0,8,18,0.07,1,21,Law,1.00,,,,2,8,1,Bowdoin College,"94,022","86,340.00",lawyer,1.00,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,5.00,5.00,7.00,6.00,7.00,5.00,6.00,4.00,,27,2,33.33,11.11,11.11,11.11,11.11,22.22,5.00,5.00,6.00,5.00,5.00,5.00,6.00,5.00,2,1,0,0
5,5,0,9,19,-0.13,1,21,Law,1.00,,,,2,8,1,Bowdoin College,"94,022","86,340.00",lawyer,1.00,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,7.00,5.00,7.00,8.00,7.00,9.00,9.00,4.00,,28,2,50.00,0.00,25.00,10.00,0.00,15.00,5.00,9.00,9.00,9.00,9.00,6.00,7.00,7.00,2,1,1,1
5,5,0,10,20,-0.06,1,21,Law,1.00,,,,2,8,1,Bowdoin College,"94,022","86,340.00",lawyer,1.00,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7,10,9.00,6.00,7.00,9.00,6.00,5.00,10.00,3.00,,24,2,100.00,0.00,0.00,0.00,0.00,0.00,3.00,10.00,7.00,7.00,10.00,5.00,4.00,10.00,2,1,0,0
6,6,0,1,11,0.33,0,23,law,1.00,,,,4,1,1,MD,"20,878","60,304.00",lawyer,1.00,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,6.00,9.00,7.00,6.00,7.00,6.00,6.00,6.00,4.00,27,2,35.00,20.00,20.00,20.00,0.00,5.00,7.00,9.00,8.00,9.00,8.00,4.00,7.00,4.00,2,1,0,0
6,6,0,2,12,0.37,0,23,law,1.00,,,,4,1,1,MD,"20,878","60,304.00",lawyer,1.00,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,6.00,9.00,9.00,6.00,8.00,2.00,7.00,6.00,4.00,22,2,60.00,0.00,0.00,40.00,0.00,0.00,6.00,8.00,10.00,6.00,7.00,6.00,7.00,4.00,2,1,0,0
6,6,0,3,13,-0.51,1,23,law,1.00,,,,4,1,1,MD,"20,878","60,304.00",lawyer,1.00,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4.00,7.00,9.00,4.00,3.00,2.00,6.00,2.00,4.00,22,4,19.00,18.00,19.00,18.00,14.00,12.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,1,0,1,0
6,6,0,4,14,0.12,0,23,law,1.00,,,,4,1,1,MD,"20,878","60,304.00",lawyer,1.00,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,8.00,6.00,7.00,8.00,2.00,8.00,9.00,4.00,4.00,23,2,30.00,5.00,15.00,40.00,5.00,5.00,6.00,8.00,8.00,7.00,9.00,8.00,7.00,7.00,2,1,1,1
6,6,0,5,15,0.35,0,23,law,1.00,,,,4,1,1,MD,"20,878","60,304.00",lawyer,1.00,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,5.00,4.00,8.00,8.00,4.00,2.00,4.00,3.00,4.00,24,3,30.00,10.00,20.00,10.00,10.00,20.00,9.00,7.00,9.00,7.00,9.00,6.00,9.00,2.00,1,0,1,0
6,6,0,6,16,0.19,0,23,law,1.00,,,,4,1,1,MD,"20,878","60,304.00",lawyer,1.00,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,3.00,7.00,6.00,1.00,1.00,1.00,2.00,2.00,4.00,25,2,50.00,0.00,30.00,10.00,0.00,10.00,6.00,6.00,8.00,8.00,8.00,7.00,6.00,6.00,2,0,1,0
6,6,0,7,17,0.47,0,23,law,1.00,,,,4,1,1,MD,"20,878","60,304.00",lawyer,1.00,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,8.00,8.00,8.00,8.00,3.00,4.00,8.00,7.00,4.00,30,2,35.00,15.00,25.00,10.00,5.00,10.00,5.00,6.00,8.00,4.00,5.00,4.00,3.00,3.00,2,1,0,0
6,6,0,8,18,0.03,0,23,law,1.00,,,,4,1,1,MD,"20,878","60,304.00",lawyer,1.00,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,4.00,8.00,9.00,2.00,8.00,3.00,5.00,5.00,4.00,27,2,33.33,11.11,11.11,11.11,11.11,22.22,6.00,7.00,8.00,7.00,8.00,5.00,7.00,6.00,2,0,0,0
6,6,0,9,19,0.46,0,23,law,1.00,,,,4,1,1,MD,"20,878","60,304.00",lawyer,1.00,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,7.00,6.00,8.00,8.00,6.00,9.00,9.00,6.00,4.00,28,2,50.00,0.00,25.00,10.00,0.00,15.00,6.00,7.00,7.00,6.00,6.00,6.00,6.00,6.00,2,1,1,1
6,6,0,10,20,0.43,0,23,law,1.00,,,,4,1,1,MD,"20,878","60,304.00",lawyer,1.00,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4,3,8.00,9.00,9.00,9.00,10.00,7.00,9.00,8.00,4.00,24,2,100.00,0.00,0.00,0.00,0.00,0.00,7.00,10.00,10.00,6.00,10.00,7.00,6.00,7.00,2,1,0,0
7,7,0,1,11,0.19,0,22,Law,1.00,,,,4,2,4,Southern California,"91,360","54,620.00",Law,1.00,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,4.00,8.00,8.00,5.00,7.00,4.00,7.00,4.00,2.00,27,2,35.00,20.00,20.00,20.00,0.00,5.00,7.00,8.00,8.00,8.00,7.00,7.00,7.00,4.00,2,0,0,0
7,7,0,2,12,0.21,0,22,Law,1.00,,,,4,2,4,Southern California,"91,360","54,620.00",Law,1.00,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,6.00,6.00,8.00,4.00,9.00,4.00,7.00,3.00,2.00,22,2,60.00,0.00,0.00,40.00,0.00,0.00,7.00,9.00,10.00,6.00,6.00,5.00,8.00,4.00,1,0,1,0
7,7,0,3,13,0.52,1,22,Law,1.00,,,,4,2,4,Southern California,"91,360","54,620.00",Law,1.00,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,3.00,6.00,8.00,7.00,8.00,8.00,7.00,8.00,2.00,22,4,19.00,18.00,19.00,18.00,14.00,12.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,,0,1,0
7,7,0,4,14,-0.46,0,22,Law,1.00,,,,4,2,4,Southern California,"91,360","54,620.00",Law,1.00,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,7.00,8.00,8.00,7.00,7.00,6.00,8.00,6.00,2.00,23,2,30.00,5.00,15.00,40.00,5.00,5.00,8.00,8.00,9.00,8.00,9.00,9.00,8.00,7.00,1,1,1,1
7,7,0,5,15,-0.27,0,22,Law,1.00,,,,4,2,4,Southern California,"91,360","54,620.00",Law,1.00,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,4.00,7.00,7.00,4.00,8.00,5.00,5.00,6.00,2.00,24,3,30.00,10.00,20.00,10.00,10.00,20.00,8.00,7.00,9.00,6.00,9.00,5.00,8.00,4.00,2,0,1,0
7,7,0,6,16,0.59,0,22,Law,1.00,,,,4,2,4,Southern California,"91,360","54,620.00",Law,1.00,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,4.00,8.00,7.00,4.00,5.00,4.00,5.00,5.00,2.00,25,2,50.00,0.00,30.00,10.00,0.00,10.00,8.00,8.00,8.00,6.00,6.00,6.00,7.00,7.00,2,0,1,0
7,7,0,7,17,0.31,0,22,Law,1.00,,,,4,2,4,Southern California,"91,360","54,620.00",Law,1.00,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7,3,7.00,7.00,8.00,7.00,7.00,7.00,8.00,7.00,2.00,30,2,35.00,15.00,25.00,10.00,5.00,10.00,7.00,6.00,5.00,4.00,4.00,3.00,5.00,4.00,2,1,0,0
